Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",197.800000,-129.312500,90.000000,bottom
"C2","2pF","C_0402_1005Metric",196.900000,-138.500000,0.000000,bottom
"C3","2pF","C_0402_1005Metric",196.900000,-137.450000,0.000000,bottom
"C4","10uF","C_0402_1005Metric",193.700000,-134.750000,-90.000000,bottom
"C5","100nF","C_0402_1005Metric",194.700000,-134.750000,-90.000000,bottom
"C6","100nF","C_0402_1005Metric",195.700000,-134.750000,-90.000000,bottom
"C7","100nF","C_0402_1005Metric",196.700000,-134.750000,-90.000000,bottom
"D1","LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",300.910000,-49.085000,0.000000,bottom
"D2","LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",310.630000,-49.085000,0.000000,bottom
"D3","LED","LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm",320.330000,-49.085000,0.000000,bottom
"D4","5V Zener","D_SOD-523",185.900000,-60.350000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",180.800000,-46.365000,0.000000,bottom
"J3","Addon interface","PinHeader_1x04_P2.54mm_Horizontal",37.370000,-98.910000,90.000000,bottom
"MUX1","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",59.500000,-93.700000,180.000000,bottom
"MUX2","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",78.600000,-101.100000,180.000000,bottom
"MUX3","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",116.700000,-101.050000,180.000000,bottom
"MUX4","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",154.825000,-101.075000,180.000000,bottom
"MUX5","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",192.920000,-101.052500,180.000000,bottom
