Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric",198.600000,-128.150000,180.000000,bottom
"C2","2pF","C_0402_1005Metric",190.430000,-137.250000,-90.000000,bottom
"C3","2pF","C_0402_1005Metric",195.130000,-137.750000,0.000000,bottom
"C4","10uF","C_0402_1005Metric",193.700000,-134.750000,-90.000000,bottom
"C5","100nF","C_0402_1005Metric",194.700000,-134.750000,-90.000000,bottom
"C6","100nF","C_0402_1005Metric",195.700000,-134.750000,-90.000000,bottom
"C7","100nF","C_0402_1005Metric",196.700000,-134.750000,-90.000000,bottom
"C8","100nF","C_0402_1005Metric",63.380000,-94.530000,-90.000000,bottom
"C9","100nF","C_0402_1005Metric",82.620000,-100.220000,90.000000,bottom
"C10","100nF","C_0402_1005Metric",121.510000,-100.170000,90.000000,bottom
"C11","100nF","C_0402_1005Metric",158.810000,-100.400000,90.000000,bottom
"C12","100nF","C_0402_1005Metric",197.570000,-99.200000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",235.300000,-100.850000,0.000000,bottom
"C14","100nF","C_0402_1005Metric",279.100000,-94.110000,-90.000000,bottom
"C15","100nF","C_0402_1005Metric",314.420000,-93.450000,0.000000,bottom
"C16","220pF","C_0402_1005Metric",179.100000,-130.600000,180.000000,bottom
"C17","220pF","C_0402_1005Metric",179.100000,-129.600000,180.000000,bottom
"C18","220pF","C_0402_1005Metric",179.100000,-128.600000,180.000000,bottom
"C19","220pF","C_0402_1005Metric",179.100000,-127.600000,180.000000,bottom
"C20","220pF","C_0402_1005Metric",179.100000,-126.600000,180.000000,bottom
"C21","220pF","C_0402_1005Metric",179.100000,-125.600000,180.000000,bottom
"C22","220pF","C_0402_1005Metric",179.100000,-124.600000,180.000000,bottom
"C23","220pF","C_0402_1005Metric",179.100000,-123.600000,180.000000,bottom
"D4","5V Zener","D_SOD-523",185.900000,-60.350000,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",180.780000,-44.260000,0.000000,bottom
"MUX1","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",59.500000,-93.700000,180.000000,bottom
"MUX2","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",78.600000,-101.100000,180.000000,bottom
"MUX3","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",116.700000,-101.050000,180.000000,bottom
"MUX4","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",154.825000,-101.075000,180.000000,bottom
"MUX5","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",192.920000,-101.052500,180.000000,bottom
"MUX6","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",231.000000,-101.090000,180.000000,bottom
"MUX7","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",275.550000,-93.720000,180.000000,bottom
"MUX8","U74HC4051G-Q16","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",310.750000,-93.720000,180.000000,bottom
